Section,Index,X_mm,Y_mm,Z_mm,FHNode_InternalName,Label,SegWidth_mm,SegHeight_mm
Section-1,1,23.875,0.0,0.0,FHNode,Section-1_Node_1,0.25,0.035
Section-1,2,23.6929409,3.02367354,0.0,FHNode001,Section-1_Node_2,0.25,0.035
Section-1,3,23.12932977,6.00123189,0.0,FHNode002,Section-1_Node_3,0.25,0.035
Section-1,4,22.19291676,8.88470363,0.0,FHNode003,Section-1_Node_4,0.25,0.035
Section-1,5,20.89846092,11.62759139,0.0,FHNode004,Section-1_Node_5,0.25,0.035
Section-1,6,19.26649761,14.18562165,0.0,FHNode005,Section-1_Node_6,0.25,0.035
Section-1,7,17.32301283,16.51745937,0.0,FHNode006,Section-1_Node_7,0.25,0.035
Section-1,8,15.09902946,18.58537588,0.0,FHNode007,Section-1_Node_8,0.25,0.035
Section-1,9,12.63011212,20.35585932,0.0,FHNode008,Section-1_Node_9,0.25,0.035
Section-1,10,9.95579844,21.80015771,0.0,FHNode009,Section-1_Node_10,0.25,0.035
Section-1,11,7.11896592,22.89474579,0.0,FHNode010,Section-1_Node_11,0.25,0.035
Section-1,12,4.16514448,23.62170819,0.0,FHNode011,Section-1_Node_12,0.25,0.035
Section-1,13,1.14178575,23.96903255,0.0,FHNode012,Section-1_Node_13,0.25,0.035
Section-1,14,-1.90249928,23.9308079,0.0,FHNode013,Section-1_Node_14,0.25,0.035
Section-1,15,-4.91872176,23.50732491,0.0,FHNode014,Section-1_Node_15,0.25,0.035
Section-1,16,-7.85830338,22.70507649,0.0,FHNode015,Section-1_Node_16,0.25,0.035
Section-1,17,-10.67385872,21.53665844,0.0,FHNode016,Section-1_Node_17,0.25,0.035
Section-1,18,-13.31995911,20.02057182,0.0,FHNode017,Section-1_Node_18,0.25,0.035
Section-1,19,-15.75386561,18.1809301,0.0,FHNode018,Section-1_Node_19,0.25,0.035
Section-1,20,-17.93621929,16.04707566,0.0,FHNode019,Section-1_Node_20,0.25,0.035
Section-1,21,-19.83167769,13.6531118,0.0,FHNode020,Section-1_Node_21,0.25,0.035
Section-1,22,-21.40948719,11.03735777,0.0,FHNode021,Section-1_Node_22,0.25,0.035
Section-1,23,-22.6439819,8.2417354,0.0,FHNode022,Section-1_Node_23,0.25,0.035
Section-1,24,-23.51500116,5.31109723,0.0,FHNode023,Section-1_Node_24,0.25,0.035
Section-1,25,-24.00821868,2.29250692,0.0,FHNode024,Section-1_Node_25,0.25,0.035
Section-1,26,-24.11537807,-0.76551652,0.0,FHNode025,Section-1_Node_26,0.25,0.035
Section-1,27,-23.83443085,-3.81377864,0.0,FHNode026,Section-1_Node_27,0.25,0.035
Section-1,28,-23.16957465,-6.80320095,0.0,FHNode027,Section-1_Node_28,0.25,0.035
Section-1,29,-22.1311908,-9.68561103,0.0,FHNode028,Section-1_Node_29,0.25,0.035
Section-1,30,-20.73568247,-12.41451888,0.0,FHNode029,Section-1_Node_30,0.25,0.035
Section-1,31,-19.00521554,-14.9458667,0.0,FHNode030,Section-1_Node_31,0.25,0.035
Section-1,32,-16.9673667,-17.2387402,0.0,FHNode031,Section-1_Node_32,0.25,0.035
Section-1,33,-14.65468391,-19.25602989,0.0,FHNode032,Section-1_Node_33,0.25,0.035
Section-1,34,-12.10416667,-20.96503165,0.0,FHNode033,Section-1_Node_34,0.25,0.035
Section-1,35,-9.35667406,-22.33797691,0.0,FHNode034,Section-1_Node_35,0.25,0.035
Section-1,36,-6.45627022,-23.35248381,0.0,FHNode035,Section-1_Node_36,0.25,0.035
Section-1,37,-3.44951761,-23.99192199,0.0,FHNode036,Section-1_Node_37,0.25,0.035
Section-1,38,-0.38472959,-24.24568513,0.0,FHNode037,Section-1_Node_38,0.25,0.035
Section-1,39,2.68880598,-24.10936669,0.0,FHNode038,Section-1_Node_39,0.25,0.035
Section-1,40,5.72161932,-23.58483605,0.0,FHNode039,Section-1_Node_40,0.25,0.035
Section-1,41,8.66485499,-22.68021364,0.0,FHNode040,Section-1_Node_41,0.25,0.035
Section-1,42,11.47105892,-21.40974539,0.0,FHNode041,Section-1_Node_42,0.25,0.035
Section-1,43,14.09494347,-19.79357853,0.0,FHNode042,Section-1_Node_43,0.25,0.035
Section-1,44,16.49411831,-17.85744213,0.0,FHNode043,Section-1_Node_44,0.25,0.035
Section-1,45,18.62977528,-15.63223756,0.0,FHNode044,Section-1_Node_45,0.25,0.035
Section-1,46,20.46731607,-13.15354534,0.0,FHNode045,Section-1_Node_46,0.25,0.035
Section-1,47,21.97691273,-10.46105621,0.0,FHNode046,Section-1_Node_47,0.25,0.035
